region,anio,periodo,fuerza_trabajo,fuerza_trabajo_potencial,pct_poblacion_edad_trabajar,poblacion_desocupada,poblacion_edad_trabajar,poblacion_fuera_fuerza_trabajo,poblacion_ocupada,poblacion_subocupada,poblacion_total,td,tgp,to,ts
Caribe,2010,I,4137.11414,0.0,68.92919,451.499335,6576.146667,2439.032526,3685.614805,426.360489,9540.438,10.913388,62.910917,56.045204,10.305746
Caribe,2010,II,4264.161758,0.0,69.095303,422.841316,6634.695333,2370.533576,3841.320442,481.039134,9602.237833,9.916165,64.270649,57.897466,11.280978
Caribe,2011,I,4287.357155,0.0,69.262557,450.997954,6693.212,2405.854845,3836.359201,463.504755,9663.535833,10.519253,64.055302,57.317163,10.810967
Caribe,2011,II,4390.948178,0.0,69.430723,383.904334,6751.2055,2360.257322,4007.043844,478.440131,9723.657167,8.743085,65.039469,59.353012,10.896055
Caribe,2012,I,4580.303427,0.0,69.602883,437.745923,6809.6485,2229.345073,4142.557505,553.884706,9783.5725,9.557138,67.261966,60.833647,12.092751
Caribe,2012,II,4519.903895,0.0,69.778173,379.753673,6868.214,2348.310105,4140.150222,446.152463,9842.926167,8.401809,65.809014,60.279866,9.87084
Caribe,2013,I,4484.536079,0.0,69.957617,391.758829,6927.398667,2442.862588,4092.77725,417.98663,9902.279333,8.735772,64.736221,59.081012,9.320621
Caribe,2013,II,4603.687543,0.0,70.138739,326.942813,6986.490667,2382.803124,4276.74473,380.960805,9960.9585,7.101759,65.894134,61.214491,8.275123
Caribe,2014,I,4548.845457,0.0,70.32401,342.607041,7046.171333,2497.325876,4206.238416,403.060199,10019.581333,7.531736,64.55769,59.695375,8.860714
Caribe,2014,II,4719.593406,0.0,70.510456,338.301172,7105.465333,2385.871927,4381.292234,415.673089,10077.179667,7.168015,66.422017,61.660877,8.807392
Caribe,2015,I,4742.762764,0.0,70.701172,355.687687,7166.895667,2424.132903,4387.075077,472.560598,10136.883833,7.499588,66.175971,61.213045,9.963825
Caribe,2015,II,4867.108407,0.0,70.891,355.789891,7231.4855,2364.377093,4511.318517,484.131643,10200.851333,7.310088,67.304407,62.384396,9.947008
Caribe,2016,I,4837.298453,0.0,71.082964,429.295878,7301.412333,2464.113881,4408.002575,494.113304,10271.676833,8.874703,66.251545,60.371917,10.214654
Caribe,2016,II,4920.846742,0.0,71.269657,395.119883,7373.853167,2453.006425,4525.726859,487.773019,10346.413167,8.02951,66.733723,61.375332,9.91238
Caribe,2017,I,4966.021889,0.0,71.453412,406.274222,7451.756333,2485.734445,4559.747667,506.970676,10428.832,8.18108,66.642301,61.190241,10.208789
Caribe,2017,II,5079.787343,0.0,71.629681,377.754225,7538.894667,2459.107324,4702.033118,502.432675,10524.8195,7.436418,67.381063,62.370325,9.890821
Caribe,2018,I,5016.317081,0.0,71.800535,359.773947,7644.023,2627.705919,4656.543134,534.168638,10646.192333,7.172073,65.624045,60.91744,10.648622
Caribe,2018,II,5247.748919,0.0,71.967278,382.197471,7775.406,2527.657081,4865.551448,560.630577,10804.085167,7.283075,67.491639,62.576172,10.683258
Caribe,2019,I,5283.587801,0.0,72.130355,434.094927,7924.301,2640.713199,4849.492875,626.024778,10986.0835,8.215912,66.675759,61.197737,11.848479
Caribe,2019,II,5339.05189,0.0,72.287411,446.614371,8063.825167,2724.773276,4892.437519,629.737796,11155.2275,8.36505,66.209916,60.671424,11.794937
Caribe,2020,I,4957.468688,0.0,72.441588,594.258248,8186.938,3229.469312,4363.21044,0.0,11301.433667,11.987131,60.553392,53.294778,0.0
Caribe,2020,II,5094.733918,0.0,72.593745,606.015602,8288.540333,3193.806415,4488.718316,0.0,11417.706,11.894941,61.467203,54.155715,0.0
Caribe,2021,I,5282.344715,344.457024,72.747903,625.34749,8372.7655,3090.420785,4656.997225,583.657185,11509.287833,11.838445,63.089605,55.620777,11.049207
Caribe,2021,II,5261.495252,350.416317,72.901339,568.276921,8445.805667,3184.310415,4693.218331,596.166565,11585.2545,10.800673,62.297138,55.568628,11.330744
Caribe,2022,I,5330.02295,448.45899,73.053609,627.03141,8509.349,3179.32605,4702.99154,635.275547,11648.0885,11.764141,62.637259,55.268523,11.918814
Caribe,2022,II,5449.046805,470.529501,73.195754,596.347632,8568.7745,3119.727695,4852.699173,632.38783,11706.655167,10.944072,63.591903,56.632359,11.605476
Caribe,2023,I,5463.479948,461.789086,73.345564,604.181171,8630.622833,3167.142885,4859.298777,601.210278,11767.068667,11.058541,63.303426,56.302991,11.004164
Caribe,2023,II,5417.212263,498.604323,73.534376,511.293264,8696.091833,3278.879571,4905.918999,569.228789,11825.8865,9.43831,62.294791,56.415216,10.507781
Caribe,2024,I,5295.638945,420.569951,73.75734,595.02353,8765.278167,3469.639222,4700.615415,508.987626,11883.940167,11.236105,60.416097,53.627681,9.611449
Caribe,2024,II,5434.653568,417.796147,73.966068,523.096893,8831.939667,3397.286098,4911.556675,511.312866,11940.528833,9.625211,61.534088,55.611302,9.40838
Caribe,2025,I,5478.427554,436.947472,74.151351,574.644341,8896.280667,3417.853113,4903.783213,516.744323,11997.462667,10.48922,61.581101,55.121723,9.432347
Caribe,2025,II,5552.691295,435.924325,74.334646,509.441457,8959.7775,3407.086205,5043.249838,496.093153,12053.2995,9.174676,61.97354,56.287668,8.934283
Central,2010,I,5274.714014,0.0,73.894378,760.907296,8044.8925,2770.178486,4513.806718,673.402383,10887.015667,14.425565,65.565997,56.107732,12.766614
Central,2010,II,5328.662561,0.0,74.179331,671.189985,8109.595667,2780.933105,4657.472576,648.352952,10932.4195,12.595843,65.708116,57.431625,12.167274
Central,2011,I,5311.906208,0.0,74.462283,716.219666,8174.418,2862.511792,4595.686542,627.18497,10977.931,13.483289,64.982072,56.220352,11.807154
Central,2011,II,5436.335392,0.0,74.73882,630.236682,8237.960833,2801.625441,4806.09871,614.754783,11022.332,11.593043,65.991275,58.340878,11.308257
Central,2012,I,5501.330827,0.0,75.011815,682.981208,8300.842333,2799.511506,4818.349619,632.247775,11066.0465,12.414836,66.274368,58.046514,11.492633
Central,2012,II,5477.926749,0.0,75.27739,608.072413,8362.349167,2884.422418,4869.854336,643.046859,11108.713,11.100412,65.507032,58.235482,11.738873
Central,2013,I,5455.975773,0.0,75.537657,643.685577,8423.1925,2967.216727,4812.290196,604.052981,11150.984667,11.797809,64.773253,57.131428,11.071401
Central,2013,II,5529.821553,0.0,75.789084,528.03403,8483.361833,2953.54028,5001.787524,572.800344,11193.382167,9.548844,65.184318,58.959969,10.358387
Central,2014,I,5527.199538,0.0,76.036123,596.260679,8543.982,3016.782462,4930.938859,515.591672,11236.740667,10.787754,64.691142,57.712421,9.328262
Central,2014,II,5518.575774,0.0,76.272472,531.110149,8603.983167,3085.407393,4987.465625,521.557523,11280.587833,9.624044,64.139779,57.966938,9.450944
Central,2015,I,5492.77289,0.0,76.504275,593.540972,8665.3925,3172.61961,4899.231918,512.29754,11326.6775,10.805853,63.387468,56.537911,9.326756
Central,2015,II,5583.85185,0.0,76.722004,538.424613,8727.397333,3143.545483,5045.427237,487.987043,11375.351167,9.64253,63.980722,57.811362,8.739255
Central,2016,I,5571.002512,0.0,76.933651,606.312671,8791.911,3220.908488,4964.689841,537.11208,11427.913333,10.883367,63.365092,56.468836,9.641211
Central,2016,II,5620.57099,0.0,77.130754,560.46846,8856.475333,3235.904343,5060.10253,492.252549,11482.417667,9.971735,63.462842,57.134496,8.758052
Central,2017,I,5637.896274,0.0,77.318621,613.130592,8923.1295,3285.233226,5024.765683,529.675084,11540.725167,10.875166,63.182948,56.311697,9.394907
Central,2017,II,5653.653066,0.0,77.485823,567.010839,8992.166,3338.512934,5086.642227,467.405877,11604.917667,10.029106,62.873095,56.567486,8.267325
Central,2018,I,5638.57943,0.0,77.639952,685.631593,9068.162167,3429.582737,4952.947837,509.025458,11679.762667,12.159651,62.179958,54.619092,9.027548
Central,2018,II,5681.807195,0.0,77.787211,608.981657,9153.6305,3471.823305,5072.825539,487.434003,11767.526333,10.718098,62.071625,55.418727,8.578855
Central,2019,I,5636.845925,0.0,77.933948,710.377051,9246.414833,3609.568909,4926.468874,533.433772,11864.425,12.602385,60.962503,53.279773,9.463338
Central,2019,II,5680.206898,0.0,78.075601,674.357339,9336.0495,3655.842602,5005.849559,525.477017,11957.704333,11.872056,60.841654,53.618498,9.251019
Central,2020,I,5422.426024,0.0,78.216669,1044.653109,9420.762167,3998.336142,4377.772915,0.0,12044.443,19.265419,57.558252,46.469413,
Central,2020,II,5553.369751,0.0,78.357723,963.703584,9498.829167,3945.459416,4589.666167,0.0,12122.3905,17.353492,58.463729,48.31823,
Central,2021,I,5470.49792,329.137018,78.503067,839.906497,9573.657833,4103.159913,4630.591423,304.060557,12195.266,15.353383,57.141147,48.368048,5.558188
Central,2021,II,5590.537576,271.818448,78.642685,659.126315,9647.708333,4057.170757,4931.411261,308.934682,12267.775833,11.790035,57.946793,51.114846,5.526028
Central,2022,I,5923.150707,382.10954,78.778877,673.389942,9722.431167,3799.28046,5249.760765,357.371069,12341.418833,11.368779,60.922527,53.996379,6.033462
Central,2022,II,5974.871514,359.689407,78.905158,602.884185,9797.073,3822.201486,5371.987329,352.604359,12416.264333,10.090329,60.986292,54.832574,5.901455
Central,2023,I,6051.477621,367.056896,79.033195,613.202428,9873.463167,3821.985546,5438.275193,353.711659,12492.805333,10.133102,61.290325,55.079713,5.845046
Central,2023,II,6091.50364,310.203687,79.176949,537.053594,9950.764333,3859.260693,5554.450047,348.400391,12567.754167,8.816437,61.21644,55.819331,5.719448
Central,2024,I,6142.700189,299.772571,79.335377,674.226625,10029.6105,3886.910311,5468.473564,367.913362,12642.0405,10.976063,61.24565,54.523289,5.98944
Central,2024,II,6243.880206,255.028794,79.482669,540.847045,10105.807167,3861.92696,5703.033161,327.290491,12714.478833,8.662034,61.785072,56.433228,5.24178
Central,2025,I,6332.638265,252.260434,79.616671,568.864285,10180.102,3847.463735,5763.773979,377.688819,12786.395,8.983054,62.206039,56.618038,5.964162
Central,2025,II,6379.262044,253.850464,79.745937,469.852366,10252.709167,3873.447123,5909.409677,377.991027,12856.716667,7.365309,62.220257,57.637543,5.92531
Oriental,2010,I,3843.617025,0.0,72.83928,411.865823,5495.929333,1652.312309,3431.751202,431.053137,7545.282333,10.715579,69.935707,62.441691,11.214779
Oriental,2010,II,3854.805469,0.0,73.100781,371.877083,5560.126167,1705.320697,3482.928387,470.398272,7606.1105,9.647104,69.32946,62.641175,12.202906
Oriental,2011,I,3900.186323,0.0,73.365763,391.080297,5626.133833,1725.947511,3509.106026,412.685259,7668.6095,10.027221,69.322672,62.371535,10.581168
Oriental,2011,II,3981.731158,0.0,73.623634,345.981783,5692.137,1710.405842,3635.749376,426.670433,7731.399167,8.68923,69.951429,63.873188,10.715702
Oriental,2012,I,4034.94755,0.0,73.881128,425.280114,5759.798,1724.85045,3609.667436,457.580539,7796.034167,10.539917,70.053629,62.670035,11.340433
Oriental,2012,II,4019.953632,0.0,74.129953,345.887142,5827.791833,1807.838201,3674.06649,465.3045,7861.5885,8.604257,68.979019,63.043887,11.574872
Oriental,2013,I,4043.6982,0.0,74.375725,410.232727,5897.235833,1853.537633,3633.465473,447.193061,7928.979333,10.144989,68.569383,61.613026,11.059012
Oriental,2013,II,4081.375073,0.0,74.609863,350.487591,5966.923167,1885.548094,3730.887482,418.805666,7997.499167,8.587488,68.399994,62.526153,10.261386
Oriental,2014,I,4069.280847,0.0,74.842368,400.079626,6038.432333,1969.151486,3669.201221,417.042928,8068.2005,9.831703,67.38969,60.764136,10.248566
Oriental,2014,II,4200.40913,0.0,75.061014,337.214223,6109.658167,1909.249037,3863.194906,411.846429,8139.589167,8.028128,68.750313,63.23095,9.804912
Oriental,2015,I,4189.103947,0.0,75.27915,386.62532,6184.128,1995.024053,3802.478627,414.823903,8214.928,9.229308,67.739606,61.487709,9.90245
Oriental,2015,II,4265.798979,0.0,75.478256,338.037673,6260.2985,1994.499521,3927.761306,401.284086,8294.174833,7.924369,68.140504,62.740799,9.407009
Oriental,2016,I,4222.654058,0.0,75.674746,430.241441,6342.176333,2119.522275,3792.412618,396.329428,8380.836,10.188887,66.580521,59.796707,9.38579
Oriental,2016,II,4267.233067,0.0,75.856231,348.021488,6425.521667,2158.2886,3919.211578,421.123171,8470.657667,8.155671,66.410687,60.99445,9.868764
Oriental,2017,I,4271.055259,0.0,76.030657,415.854222,6514.888667,2243.833407,3855.201037,414.319551,8568.7655,9.736569,65.558377,59.175241,9.700637
Oriental,2017,II,4366.80356,0.0,76.170303,391.113978,6610.013667,2243.210107,3975.689581,421.111665,8677.940667,8.956528,66.063457,60.146465,9.643476
Oriental,2018,I,4410.86288,0.0,76.282111,464.143448,6718.353333,2307.490453,3946.719432,355.851103,8807.246167,10.522736,65.653928,58.745339,8.067607
Oriental,2018,II,4439.56448,0.0,76.370048,451.331885,6839.903667,2400.339187,3988.232595,440.791758,8956.264667,10.16613,64.906828,58.308315,9.928716
Oriental,2019,I,4448.969055,0.0,76.451085,563.820826,6971.8795,2522.910445,3885.148229,426.805755,9119.399,12.673067,63.813051,55.725981,9.593363
Oriental,2019,II,4462.385255,0.0,76.531596,507.928736,7095.9725,2633.587245,3954.45652,441.36269,9271.9515,11.382449,62.886169,55.728183,9.890735
Oriental,2020,I,4234.682624,0.0,76.620312,772.550771,7211.858,2977.175376,3462.131853,0.0,9412.462333,18.243416,58.718331,48.006101,0.0
Oriental,2020,II,4315.296017,0.0,76.715647,734.569073,7311.0855,2995.789483,3580.726944,0.0,9530.11,17.022449,59.024012,48.97668,0.0
Oriental,2021,I,4406.586787,269.481406,76.821683,768.573143,7398.023333,2991.436546,3638.013644,319.187974,9630.124,17.441462,59.564381,49.175482,7.243429
Oriental,2021,II,4582.099435,200.174981,76.928095,581.480143,7473.745833,2891.646399,4000.619292,341.542408,9715.235833,12.690256,61.309276,53.528972,7.453841
Oriental,2022,I,4772.515584,264.264908,77.035434,627.342524,7541.942333,2769.426749,4145.17306,422.508959,9790.225,13.144903,63.279662,54.961612,8.852961
Oriental,2022,II,4797.06745,246.401249,77.13253,479.510745,7604.797167,2807.729717,4317.556705,368.615029,9859.390333,9.995914,63.079492,56.77412,7.684174
Oriental,2023,I,4848.725415,281.556674,77.236158,544.201723,7669.820833,2821.095418,4304.523692,348.341013,9930.35,11.223604,63.218236,56.122872,7.184177
Oriental,2023,II,4909.619915,260.583398,77.376786,471.255536,7736.313833,2826.693918,4438.364379,311.333885,9998.236167,9.598615,63.462006,57.370532,6.341303
Oriental,2024,I,4898.848471,210.68283,77.549467,575.953028,7806.104167,2907.255696,4322.895443,330.927321,10065.9675,11.756906,62.756637,55.378398,6.755206
Oriental,2024,II,4959.142325,194.809347,77.70523,462.693364,7872.3865,2913.244175,4496.448961,317.146867,10131.089667,9.330109,62.994142,57.11672,6.395196
Oriental,2025,I,5065.466478,244.931955,77.838849,530.434374,7936.6785,2871.212022,4535.032104,330.46298,10196.294833,10.47158,63.823506,57.140177,6.523841
Oriental,2025,II,5148.978584,254.779447,77.969218,460.263408,7998.994,2850.015416,4688.715177,363.712478,10259.169167,8.938926,64.370327,58.616311,7.063779
Orinoquía/Amazonía/Insular,2010,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orinoquía/Amazonía/Insular,2010,II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orinoquía/Amazonía/Insular,2011,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orinoquía/Amazonía/Insular,2011,II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orinoquía/Amazonía/Insular,2012,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orinoquía/Amazonía/Insular,2012,II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orinoquía/Amazonía/Insular,2013,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orinoquía/Amazonía/Insular,2013,II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orinoquía/Amazonía/Insular,2014,I,192.286204,0.0,71.152153,18.668184,270.038667,77.752463,173.61802,10.491888,379.522833,9.70854,71.206915,64.293763,5.456391
Orinoquía/Amazonía/Insular,2014,II,194.678579,0.0,71.380857,16.260973,273.02,78.341421,178.417605,8.910347,382.4835,8.352729,71.305611,65.349647,4.576953
Orinoquía/Amazonía/Insular,2015,I,193.302289,0.0,71.606987,19.23797,276.042667,82.740378,174.064319,8.36084,385.496833,9.952272,70.026236,63.057034,4.325267
Orinoquía/Amazonía/Insular,2015,II,197.077845,0.0,71.832048,17.259044,279.244333,82.166489,179.8188,9.712146,388.746167,8.757476,70.575414,64.394789,4.928076
Orinoquía/Amazonía/Insular,2016,I,199.277175,0.0,72.043705,24.325669,282.613167,83.335992,174.951506,12.348421,392.280167,12.206952,70.512346,61.904938,6.196606
Orinoquía/Amazonía/Insular,2016,II,202.357582,0.0,72.223352,22.347383,286.015667,83.658084,180.0102,14.711859,396.0155,11.043511,70.750524,62.937182,7.270229
Orinoquía/Amazonía/Insular,2017,I,205.036703,0.0,72.427161,27.172021,289.699833,84.66313,177.864682,15.552508,399.987833,13.252272,70.775568,61.396198,7.585231
Orinoquía/Amazonía/Insular,2017,II,206.027834,0.0,72.761969,26.367383,294.196167,88.168332,179.660451,14.237915,404.326833,12.797971,70.030768,61.06825,6.910675
Orinoquía/Amazonía/Insular,2018,I,204.217883,0.0,73.184662,27.557696,299.680333,95.462451,176.660187,12.166956,409.485167,13.494262,68.14524,58.949543,5.957831
Orinoquía/Amazonía/Insular,2018,II,207.760381,0.0,73.51021,28.487742,305.928667,98.168285,179.272639,17.259675,416.171667,13.711826,67.911381,58.59949,8.307491
Orinoquía/Amazonía/Insular,2019,I,214.154701,0.0,73.700851,31.951376,312.431667,98.276966,182.203325,16.176353,423.918667,14.919764,68.544493,58.317816,7.553583
Orinoquía/Amazonía/Insular,2019,II,216.649188,0.0,73.861779,29.916747,318.513167,101.863978,186.732441,17.576235,431.228667,13.808843,68.018911,58.626286,8.112763
Orinoquía/Amazonía/Insular,2020,I,187.249513,0.0,74.043326,38.359945,324.021,136.771487,148.889568,0.0,437.61,20.486005,57.789314,45.950592,0.0
Orinoquía/Amazonía/Insular,2020,II,205.307778,0.0,74.218259,43.000821,328.542833,123.235055,162.306957,0.0,442.671167,20.944565,62.490414,49.402069,0.0
Orinoquía/Amazonía/Insular,2021,I,212.384435,14.209361,74.378402,40.296884,332.197,119.812565,172.087551,17.753528,446.631,18.973558,63.933279,51.802861,8.359148
Orinoquía/Amazonía/Insular,2021,II,213.877189,6.205938,74.538849,34.440857,335.550667,121.673478,179.436332,12.325129,450.168833,16.1031,63.739164,53.475183,5.762713
Orinoquía/Amazonía/Insular,2022,I,233.779577,7.860417,74.690228,36.934192,338.5835,104.803923,196.845384,19.161409,453.317,15.798725,69.046358,58.137914,8.196357
Orinoquía/Amazonía/Insular,2022,II,237.978677,11.701584,74.816132,34.554343,341.441,103.462323,203.424334,20.431179,456.3735,14.519933,69.698331,59.57818,8.585298
Orinoquía/Amazonía/Insular,2023,I,241.268756,16.00679,74.94863,39.014121,344.380833,103.112078,202.254634,17.869747,459.489167,16.170399,70.058706,58.729934,7.406573
Orinoquía/Amazonía/Insular,2023,II,244.576949,13.967039,75.16047,33.18108,347.749314,103.172365,211.395869,19.076544,462.675814,13.566724,70.331397,60.78973,7.799813
Orinoquía/Amazonía/Insular,2024,I,247.262598,11.945108,75.436208,43.100192,351.4495,104.186902,204.162406,16.238633,465.889667,17.430939,70.355086,58.091534,6.567363
Orinoquía/Amazonía/Insular,2024,II,248.519833,9.709022,75.681402,34.396878,355.0125,106.492667,214.122954,15.256286,469.088167,13.840697,70.003122,60.314201,6.138861
Orinoquía/Amazonía/Insular,2025,I,249.625105,7.523367,75.871809,35.361109,358.298167,108.673062,214.263995,12.043682,472.2415,14.165686,69.669657,59.800472,4.824708
Orinoquía/Amazonía/Insular,2025,II,250.854041,8.522644,76.057268,26.412562,361.519349,110.665308,224.441479,11.477407,475.325182,10.529056,69.388828,62.08284,4.575333
Pacífica,2010,I,3831.570676,0.0,72.50424,565.858827,5577.116167,1745.54549,3265.71185,525.045961,7692.124167,14.768325,68.701647,58.555564,13.703152
Pacífica,2010,II,3857.251249,0.0,72.704891,556.571063,5612.102667,1754.851418,3300.680186,546.654947,7719.016667,14.429215,68.730946,58.81361,14.172137
Pacífica,2011,I,3806.873004,0.0,72.90466,563.827159,5646.979167,1840.106163,3243.045845,479.875283,7745.704,14.810769,67.414327,57.429747,12.605498
Pacífica,2011,II,3901.625057,0.0,73.101165,504.073028,5680.765833,1779.140777,3397.552028,493.041493,7771.101667,12.919566,68.681322,59.807993,12.636824
Pacífica,2012,I,3850.348634,0.0,73.297137,519.43301,5713.8015,1863.452866,3330.915624,509.188203,7795.395167,13.490545,67.386811,58.295963,13.22447
Pacífica,2012,II,3854.26374,0.0,73.488963,483.491226,5745.278667,1891.014926,3370.772514,535.098521,7817.879667,12.544321,67.085758,58.670305,13.883288
Pacífica,2013,I,3866.981476,0.0,73.678585,509.932962,5775.793833,1908.812358,3357.048513,520.246374,7839.175833,13.186848,66.951515,58.122721,13.453552
Pacífica,2013,II,3898.158958,0.0,73.863919,461.188254,5805.575667,1907.416708,3436.970705,542.137459,7859.826167,11.830925,67.145089,59.201204,13.907526
Pacífica,2014,I,3841.759813,0.0,74.049236,487.977896,5835.671833,1993.912021,3353.781916,505.415247,7880.7995,12.701937,65.832348,57.470365,13.155826
Pacífica,2014,II,3864.677787,0.0,74.229475,421.020302,5865.472667,2000.794879,3443.657486,507.726396,7901.810833,10.89406,65.888599,58.710656,13.137613
Pacífica,2015,I,3915.6267,0.0,74.410561,459.704985,5896.358833,1980.732133,3455.921715,540.169152,7924.088667,11.740266,66.407537,58.611116,13.795216
Pacífica,2015,II,3975.627476,0.0,74.584175,399.503434,5927.591333,1951.963858,3576.124042,574.92996,7947.518833,10.048815,67.069865,60.330138,14.461364
Pacífica,2016,I,3981.083988,0.0,74.754801,431.194167,5959.267333,1978.183346,3549.88982,541.235387,7971.752,10.831074,66.804924,59.569233,13.595176
Pacífica,2016,II,3977.180454,0.0,74.911473,371.856013,5987.941333,2010.76088,3605.324441,472.422368,7993.356833,9.34974,66.41983,60.209749,11.878324
Pacífica,2017,I,4021.393927,0.0,75.063287,412.718519,6017.361667,1995.96774,3608.675408,477.591653,8016.3845,10.263071,66.829853,59.971057,11.876271
Pacífica,2017,II,3955.619917,0.0,75.212843,385.295912,6053.439833,2097.819917,3570.324005,418.631156,8048.4125,9.740469,65.344994,58.980086,10.5832
Pacífica,2018,I,3987.110337,0.0,75.364679,413.751404,6095.154333,2108.043997,3573.358932,451.329775,8087.547667,10.377225,65.414428,58.626226,11.319721
Pacífica,2018,II,3935.594634,0.0,75.517148,385.98854,6132.283167,2196.688533,3549.606093,491.164867,8120.385,9.80763,64.178293,57.883923,12.480068
Pacífica,2019,I,3891.369381,0.0,75.670831,434.652879,6162.612667,2271.243286,3456.716501,462.231281,8143.973833,11.169664,63.144799,56.091737,11.878371
Pacífica,2019,II,3967.239497,0.0,75.818347,427.073119,6190.085833,2222.846337,3540.166378,440.373241,8164.364,10.764995,64.090218,57.190909,11.100243
Pacífica,2020,I,3583.21439,0.0,75.968452,610.829939,6218.584167,2635.369777,2972.384451,0.0,8185.7455,17.046983,57.621064,47.798412,0.0
Pacífica,2020,II,3794.195643,0.0,76.117859,601.128757,6246.359167,2452.163523,3193.066887,0.0,8206.167667,15.843378,60.742515,51.118849,0.0
Pacífica,2021,I,3800.986707,303.494967,76.277943,561.073111,6275.014,2474.027293,3239.913596,240.014231,8226.511833,14.761249,60.573358,51.631974,6.314524
Pacífica,2021,II,3910.269799,279.863222,76.431657,460.906772,6305.236833,2394.967034,3449.363027,294.422714,8249.5095,11.787084,62.016224,54.70632,7.529473
Pacífica,2022,I,4120.872527,376.139405,76.591583,471.945942,6338.006833,2217.134306,3648.926585,376.209082,8275.069667,11.452573,65.01843,57.572147,9.129355
Pacífica,2022,II,4179.923713,360.042144,76.745929,429.92161,6370.557,2190.633287,3750.002102,409.607764,8300.840333,10.285394,65.613159,58.864588,9.799408
Pacífica,2023,I,4201.217228,373.644244,76.898148,456.609218,6402.766167,2201.548939,3744.60801,436.644782,8326.294333,10.868498,65.615659,58.484222,10.393292
Pacífica,2023,II,4220.807506,373.681271,77.028847,402.761048,6433.5005,2212.692994,3818.046458,452.876597,8352.0665,9.542275,65.606702,59.34633,10.72962
Pacífica,2024,I,4237.345484,398.774893,77.151582,466.61918,6464.290833,2226.945349,3770.726304,433.942511,8378.688667,11.012064,65.550044,58.331631,10.240905
Pacífica,2024,II,4229.939595,365.314893,77.283975,385.821865,6496.286,2266.346405,3844.11773,393.923396,8405.734833,9.121215,65.113198,59.174084,9.312743
Pacífica,2025,I,4205.147065,350.675668,77.435143,372.074977,6530.341167,2325.194101,3833.072088,352.350202,8433.304167,8.848085,64.393987,58.696353,8.379022
Pacífica,2025,II,4248.135855,392.442761,77.585686,330.243419,6564.595667,2316.459812,3917.892436,302.658276,8461.091167,7.773843,64.712833,59.682159,7.124496
